SQL Execution Plan
======================================================================

Total Statements: 2315
Total Mini-Batches: 234
Batch 2.20: 10 statements
Batch 2.21: 10 statements
Batch 2.22: 10 statements
Batch 2.23: 10 statements
Batch 2.24: 10 statements
Batch 2.25: 10 statements
Batch 2.26: 10 statements
Batch 2.27: 10 statements
Batch 2.28: 10 statements
Batch 2.29: 10 statements
Batch 2.30: 10 statements
Batch 2.31: 10 statements
Batch 2.32: 10 statements
Batch 2.33: 10 statements
Batch 2.34: 10 statements
Batch 2.35: 10 statements
Batch 2.36: 10 statements
Batch 2.37: 10 statements
Batch 2.38: 10 statements
Batch 2.39: 10 statements
Batch 2.40: 10 statements
Batch 2.41: 10 statements
Batch 2.42: 10 statements
Batch 2.43: 10 statements
Batch 2.44: 10 statements
Batch 2.45: 10 statements
Batch 2.46: 10 statements
Batch 2.47: 10 statements
Batch 2.48: 10 statements
Batch 2.49: 10 statements
Batch 2.50: 10 statements
Batch 2.51: 10 statements
Batch 2.52: 10 statements
Batch 2.53: 10 statements
Batch 2.54: 10 statements
Batch 2.55: 10 statements
Batch 2.56: 10 statements
Batch 2.57: 10 statements
Batch 2.58: 10 statements
Batch 2.59: 10 statements
Batch 2.60: 10 statements
Batch 2.61: 10 statements
Batch 2.62: 10 statements
Batch 2.63: 10 statements
Batch 2.64: 10 statements
Batch 2.65: 10 statements
Batch 2.66: 10 statements
Batch 2.67: 10 statements
Batch 2.68: 10 statements
Batch 2.69: 10 statements
Batch 2.70: 10 statements
Batch 2.71: 10 statements
Batch 2.72: 10 statements
Batch 2.73: 10 statements
Batch 2.74: 10 statements
Batch 2.75: 10 statements
Batch 2.76: 10 statements
Batch 2.77: 10 statements
Batch 2.78: 10 statements
Batch 2.79: 10 statements
Batch 2.80: 3 statements
Batch 3.1: 10 statements
Batch 3.2: 10 statements
Batch 3.3: 10 statements
Batch 3.4: 10 statements
Batch 3.5: 10 statements
Batch 3.6: 10 statements
Batch 3.7: 10 statements
Batch 3.8: 10 statements
Batch 3.9: 10 statements
Batch 3.10: 10 statements
Batch 3.11: 10 statements
Batch 3.12: 10 statements
Batch 3.13: 10 statements
Batch 3.14: 10 statements
Batch 3.15: 10 statements
Batch 3.16: 10 statements
Batch 3.17: 10 statements
Batch 3.18: 10 statements
Batch 3.19: 10 statements
Batch 3.20: 10 statements
Batch 3.21: 10 statements
Batch 3.22: 10 statements
Batch 3.23: 10 statements
Batch 3.24: 10 statements
Batch 3.25: 10 statements
Batch 3.26: 10 statements
Batch 3.27: 10 statements
Batch 3.28: 10 statements
Batch 3.29: 10 statements
Batch 3.30: 10 statements
Batch 3.31: 10 statements
Batch 3.32: 10 statements
Batch 3.33: 10 statements
Batch 3.34: 10 statements
Batch 3.35: 10 statements
Batch 3.36: 10 statements
Batch 3.37: 10 statements
Batch 3.38: 10 statements
Batch 3.39: 10 statements
Batch 3.40: 10 statements
Batch 3.41: 10 statements
Batch 3.42: 10 statements
Batch 3.43: 10 statements
Batch 3.44: 10 statements
Batch 3.45: 10 statements
Batch 3.46: 10 statements
Batch 3.47: 10 statements
Batch 3.48: 10 statements
Batch 3.49: 10 statements
Batch 3.50: 10 statements
Batch 3.51: 10 statements
Batch 3.52: 10 statements
Batch 3.53: 10 statements
Batch 3.54: 10 statements
Batch 3.55: 10 statements
Batch 3.56: 10 statements
Batch 3.57: 10 statements
Batch 3.58: 10 statements
Batch 3.59: 10 statements
Batch 3.60: 10 statements
Batch 3.61: 10 statements
Batch 3.62: 10 statements
Batch 3.63: 10 statements
Batch 3.64: 4 statements
Batch 4.1: 10 statements
Batch 4.2: 10 statements
Batch 4.3: 10 statements
Batch 4.4: 10 statements
Batch 4.5: 10 statements
Batch 4.6: 10 statements
Batch 4.7: 10 statements
Batch 4.8: 10 statements
Batch 4.9: 10 statements
Batch 4.10: 10 statements
Batch 4.11: 10 statements
Batch 4.12: 10 statements
Batch 4.13: 10 statements
Batch 4.14: 10 statements
Batch 4.15: 10 statements
Batch 4.16: 10 statements
Batch 4.17: 10 statements
Batch 4.18: 10 statements
Batch 4.19: 10 statements
Batch 4.20: 10 statements
Batch 4.21: 10 statements
Batch 4.22: 10 statements
Batch 4.23: 10 statements
Batch 4.24: 10 statements
Batch 4.25: 10 statements
Batch 4.26: 10 statements
Batch 4.27: 3 statements
