Nome,CEP,Endereço,Cidade,Estado,Status
"AFICAL","59280-000","Sem endereço","MACAÍBA","","Pendente"
"AGENOR RODRIGUES LAUREANO","60334-105","Sem endereço","FORTALEZA","","Pendente"
"AGNA COSTA","62970-000","Sem endereço","ALTO SANTO","","Pendente"
"AGRICOLA FAMOSA","62810-000","Sem endereço","ICAPUÍ","","Pendente"
"AGRICOLA FAMOSA S.A.","62800-000","Sem endereço","ARACATI","","Pendente"
"AGRO SERRA INDUSTRIAL LTDA LTDA","65840-000","Sem endereço","SÃO RAIMUNDO DAS MANGABEIRAS","","Pendente"
"AGROINDUSTRIA DE FRUTAS TROPICAIS DIOGENES LTDA","63475-000","Sem endereço","JAGUARIBE","","Pendente"
"AGROINDUSTRIA GF PARACURU LTDA.","62680-000","Sem endereço","PARACURU","","Pendente"
"AGROINDUSTRIAL DA SERRA","62899-000","Sem endereço","HORIZONTE","","Pendente"
"AGROMIX","61939-080","Sem endereço","MARACANAÚ","","Pendente"
"AGROMOTORES","60542-164","Sem endereço","FORTALEZA","","Pendente"
"AGROPAULO AGROINDUSTRIAL S.A","62823-000","Sem endereço","JAGUARUANA","","Pendente"
"AGROPAULO AGROINDUSTRIAL S.A","60844-215","Sem endereço","FORTALEZA","","Pendente"
"AGROPECUARIA BELA VISTA","28640-000","Sem endereço","CARMO","","Pendente"
"AGROVIA","61775-060","Sem endereço","EUSÉBIO","","Pendente"
"AGUA ADICIONADA DE SAIS PRIMAVERA","60540-442","Sem endereço","FORTALEZA","","Pendente"
"AGUA CRISTAL FINA","61809-320","Sem endereço","PACATUBA","","Pendente"
"AGUA DE COCO","60130-350","Sem endereço","FORTALEZA","","Pendente"
"AGUA DIAMANTINA","63800-000","Sem endereço","QUIXERAMOBIM","","Pendente"
"AGUA IDEAL","63500-005","Sem endereço","IGUATU","","Pendente"
"AGUA LITORAL","62590-000","Sem endereço","ITAREMA","","Pendente"
"AGUA MINERAL DIAMANTE AZUL","52291-800","Sem endereço","RECIFE","","Pendente"
"AGUA MINERAL LUSTRAL","55690-000","Sem endereço","BARRA DE GUABIRABA","","Pendente"
"AGUA MINERAL SANTOS REIS","59575-000","Sem endereço","EXTREMOZ","","Pendente"
"AGUA MINERAL SERRA GRANDE","62370-000","Sem endereço","SÃO BENEDITO","","Pendente"
"AGUA VITORIA","61771-180","Sem endereço","EUSÉBIO","","Pendente"
"AGUAS BELLAS INDUSTRIA DE EMBALAGENS PLASTICAS LTDA","62850-000","Sem endereço","CASCAVEL","","Pendente"
"AGUAS PURAZUL","61650-050","Sem endereço","CAUCAIA","","Pendente"
"AGUAS SAN SEBASTIAN","65400-000","Sem endereço","CODÓ","","Pendente"
"AGUILAR Y SALAS BRASIL","55590-000","Sem endereço","IPOJUCA","","Pendente"
"AIAMISS","62050-130","Sem endereço","SOBRAL","","Pendente"
"AIR PRIDE COMPRESSORES","03215-010","Sem endereço","SÃO PAULO","","Pendente"
"AIR-BOMM","04775-160","Sem endereço","SÃO PAULO","","Pendente"
"AIRLA SILVA SAMPAIO UNIPESSOAL LTDA","60120-075","Sem endereço","FORTALEZA","","Pendente"
"AIRMAX COMPRESSORES","60873-815","Sem endereço","FORTALEZA","","Pendente"
"AIRZAP - ANEST IWATA","13482-280","Sem endereço","LIMEIRA","","Pendente"
"AKI PNEUS RECAPAGEM","59615-255","Sem endereço","MOSSORÓ","","Pendente"
"AKZO NOBEL LTDA","50950-000","Sem endereço","RECIFE","","Pendente"
"ALAMO ENGENHARIA S/A","01306-020","Sem endereço","SÃO PAULO","","Pendente"
"ALBERTO SA INDUSTRIA E COMERCIO","52050-310","Sem endereço","RECIFE","","Pendente"
"ALCIMAR LEITE DE CARVALHO 43839975387","60861-790","Sem endereço","FORTALEZA","","Pendente"
"ALFA COUROS INDUSTRIAL E COMERCIAL LTDA","60455-472","Sem endereço","FORTALEZA","","Pendente"
"ALIMENTOS TIO MARCIO LTDA","60730-085","Sem endereço","FORTALEZA","","Pendente"
"ALLIANCE INDUSTRIA E COMERCIO","61870-990","Sem endereço","PACATUBA","","Pendente"
"ALLUM","60335-390","Sem endereço","FORTALEZA","","Pendente"
"ALO BIJOUX","60325-002","Sem endereço","FORTALEZA","","Pendente"
"ALPARGATAS Montes CLAROS/MG","39404-628","Sem endereço","MONTES CLAROS","","Pendente"
"ALPARGATAS S.A - Campina Grande/PB","58411-450","Sem endereço","CAMPINA GRANDE","","Pendente"
"ALPARGATAS S.A - Carpina/PE","55819-320","Sem endereço","CARPINA","","Pendente"
"ALPARGATAS S.A - Santa Rita/PB","58301-645","Sem endereço","SANTA RITA","","Pendente"
"ALPEK POLYESTER","55590-000","Sem endereço","IPOJUCA","","Pendente"
"ALPHA INDUSTRIAL COMERCIAL SERVICOS E LOGISTICA LT","60873-530","Sem endereço","FORTALEZA","","Pendente"
"ALSAN LTDA","40060-001","Sem endereço","SALVADOR","","Pendente"
"ALUMINELA ALUMINIO","63050-292","Sem endereço","JUAZEIRO DO NORTE","","Pendente"
"ALUMINIO CINTHYA","60752-270","Sem endereço","FORTALEZA","","Pendente"
"ALUMINIO LEOLA","63031-220","Sem endereço","JUAZEIRO DO NORTE","","Pendente"
"ALUMINIO SILVA","63040-740","Sem endereço","JUAZEIRO DO NORTE","","Pendente"
"ALUNOBRE INDUSTRIA E COMERCIO DE ESQUADRIAS LIMITADA","60331-240","Sem endereço","FORTALEZA","","Pendente"
"ALY3","60831-295","Sem endereço","FORTALEZA","","Pendente"
"AMAZONAS DECORACOES","60025-000","Sem endereço","FORTALEZA","","Pendente"
"AMBEV S.A. FILIAL TERESINA","64022-050","Sem endereço","TERESINA","","Pendente"
"AMBIENTAL PLAST","61805-000","Sem endereço","PACATUBA","","Pendente"
"AMBIPAR ENVIRONMENTAL WASTEWATER TREATMENT NORDESTE LTDA","54521-010","Sem endereço","CABO DE SANTO AGOSTINHO","","Pendente"
"AMCM","93542-300","Sem endereço","NOVO HAMBURGO","","Pendente"
"AMCOR FLEXIBLES SUAPE LTDA","54590-000","Sem endereço","CABO DE SANTO AGOSTINHO","","Pendente"
"AMENDOAS DO BRASIL LTDA","60360-845","Sem endereço","FORTALEZA","","Pendente"
"AMERICA PLANOS DE SAUDE","75020-010","Sem endereço","ANÁPOLIS","","Pendente"
"AMJ Lavanderia Industrial","61925-505","Sem endereço","MARACANAÚ","","Pendente"
"ANA LARISSY DA SILVA CRUZ","63800-000","Sem endereço","QUIXERAMOBIM","","Pendente"
"ANDRE ZARZAR PINHEIRO","52060-490","Sem endereço","RECIFE","","Pendente"
"ANEMEC ESTOFADOS","62560-000","Sem endereço","MARCO","","Pendente"
"ANIGER - CALCADOS, SUPRIMENTOS E EMPREENDIMENTOS L","63800-000","Sem endereço","QUIXERAMOBIM","","Pendente"
"ANIGER - CALCADOS, SUPRIMENTOS E EMPREENDIMENTOS LTDA","63800-000","Sem endereço","QUIXERAMOBIM","","Pendente"
"ANMAP","60030-050","Sem endereço","FORTALEZA","","Pendente"
"ANSOTEC INSTRUMENTOS CIENTIFICOS","50040-080","Sem endereço","RECIFE","","Pendente"
"AP MANUTENCOES","60752-460","Sem endereço","FORTALEZA","","Pendente"
"APAMIM","59618-740","Sem endereço","MOSSORÓ","","Pendente"
"APAMIM - Hospital São Luiz","59607-310","Sem endereço","MOSSORÓ","","Pendente"
"APEX SUPPLY","27345-310","Sem endereço","BARRA MANSA","","Pendente"
"APIGUANA","60035-110","Sem endereço","FORTALEZA","","Pendente"
"APIGUANA MAQUINAS E FERRAMENTAS","61932-971","Sem endereço","MARACANAÚ","","Pendente"
"APLICASIMPER","50860-000","Sem endereço","RECIFE","","Pendente"
"APORTE ADMINISTRACAO DE FUNDOS LTDA","60125-150","Sem endereço","FORTALEZA","","Pendente"
"AQUARIUS TYRES","53401-680","Sem endereço","PAULISTA","","Pendente"
"AQUAVI","61800-100","Sem endereço","PACATUBA","","Pendente"
"ARAMETAL EQUIPAMENTOS E SERVIOS","60874-450","Sem endereço","FORTALEZA","","Pendente"
"ARAPLAST - INDUSTRIA E COMERCIO DE PLASTICOS E RECICLADOS LTDA","60710-000","Sem endereço","FORTALEZA","","Pendente"
"ARASUCAR","62800-000","Sem endereço","ARACATI","","Pendente"
"ARAUJO CAMISETAS E FARDAMENTOS","55816-430","Sem endereço","CARPINA","","Pendente"
"ARAUJO DISTRIBUIDORA DE SUPRIMENTOS INDUSTRIAIS","03381-060","Sem endereço","SÃO PAULO","","Pendente"
"ARCA PLAST","62884-800","Sem endereço","HORIZONTE","","Pendente"
"ARCELORMITTAL BRASIL S.A. - MARACANAU","61900-000","Sem endereço","MARACANAÚ","","Pendente"
"ARCELORMITTAL PECEM S.A. - CSP","62674-000","Sem endereço","SÃO GONÇALO DO AMARANTE","","Pendente"
"ARCHITECTUS","60160-120","Sem endereço","FORTALEZA","","Pendente"
"ARCLIMA","54590-000","Sem endereço","CABO DE SANTO AGOSTINHO","","Pendente"
"ARCON TUBE INDUSTRIA E COMERCIO DE COMPONENTES PARA REFRIGER","69075-030","Sem endereço","MANAUS","","Pendente"
"ARCONTEC - CONSULTORIA TECNICA EM AR COMPRIMIDO","51170-070","Sem endereço","RECIFE","","Pendente"
"ARLANXEO BRASIL S.A.","25221-000","Sem endereço","DUQUE DE CAXIAS","","Pendente"
"ARMAZEM BRAZIL","61935-045","Sem endereço","MARACANAÚ","","Pendente"
"ARPLAST RECICLAGEM","63015-010","Sem endereço","JUAZEIRO DO NORTE","","Pendente"
"ARROZ  MAIA","63503-752","Sem endereço","IGUATU","","Pendente"
"ARROZ ACOSTUMADO","66815-140","Sem endereço","BELÉM","","Pendente"
"ARROZ BOM NA HORA","65570-000","Sem endereço","ARAIOSES","","Pendente"
"ARROZ PAI ZE","63500-005","Sem endereço","IGUATU","","Pendente"
"ART FITAS","60015-051","Sem endereço","FORTALEZA","","Pendente"
"ART FLEX SUPORTES INDUSTRIA LTDA","02120-000","Sem endereço","SÃO PAULO","","Pendente"
"ART PLAC","60862-220","Sem endereço","FORTALEZA","","Pendente"
"ARTECNICA PNEUMATICA","60850-130","Sem endereço","FORTALEZA","","Pendente"
"ARTGRAF","13973-495","Sem endereço","ITAPIRA","","Pendente"
"ARTHUR AZEVEDO MOVEIS","61768-290","Sem endereço","EUSÉBIO","","Pendente"
"ASA INDUSTRIA E COMERCIO LTDA","58107-630","Sem endereço","CAMPINA GRANDE","","Pendente"
"ASA INDUSTRIA E COMERCIO LTDA","50770-000","Sem endereço","RECIFE","","Pendente"
"ASA INDUSTRIA E COMERCIO LTDA","55150-790","Sem endereço","BELO JARDIM","","Pendente"
"ASC INDUSTRIA E COMERCIO DE COLCHOES E ESPUMAS LTDA (BONNO C","61890-000","Sem endereço","GUAIUBA","","Pendente"
"ASFALTOS NORDESTE LTDA - EM RECUPERACAO JUDICIAL","61939-000","Sem endereço","MARACANAÚ","","Pendente"
"ASSA ABLOY BRASIL INDUSTRIA E COMERCIO LTDA","58411-450","Sem endereço","CAMPINA GRANDE","","Pendente"
"ASSOCIACAO LAR DA SAGRADA FACE","58401-311","Sem endereço","CAMPINA GRANDE","","Pendente"
"ASSOCIACAO PIAUIENSE DE COMBATE AO CANCER ALCENOR ALMEIDA","64001-280","Sem endereço","TERESINA","","Pendente"
"ASTECOMP - J P R DE SOUZA","66123-000","Sem endereço","BELÉM","","Pendente"
"ASTRA COMPRESSORES","07417-375","Sem endereço","ARUJÁ","","Pendente"
"ASTRO NAVEGACAO LTDA","20941-120","Sem endereço","RIO DE JANEIRO","","Pendente"
"ATB ARTEFATOS DE BORRACHA LTDA","60873-290","Sem endereço","FORTALEZA","","Pendente"
"ATITUTTY","61760-000","Sem endereço","EUSÉBIO","","Pendente"
"ATMOSFERA GESTAO E HIGIENIZACAO DE TEXTEIS S.A.","48280-000","Sem endereço","MATA DE SÃO JOÃO","","Pendente"
"ATOS COMERCIO SERVICOS E IMPORTACAO LTDA","23087-284","Sem endereço","RIO DE JANEIRO","","Pendente"
"AUDACE","54310-420","Sem endereço","JABOATÃO DOS GUARARAPES","","Pendente"
"AURA BORBOREMA","59380-000","Sem endereço","CURRAIS NOVOS","","Pendente"
"AURORA MOTORES","60040-125","Sem endereço","FORTALEZA","","Pendente"
"AURORENSE FERRAGENS","60542-164","Sem endereço","FORTALEZA","","Pendente"
"AUSTEN PROCESSOS METALURGICOS LTDA","35720-000","Sem endereço","MATOZINHOS","","Pendente"
"AUTLOC REPRESENTACOES","62940-000","Sem endereço","MORADA NOVA","","Pendente"
"AUTOCORE ROBOTICA","60011-060","Sem endereço","FORTALEZA","","Pendente"
"AVANTI BRASIL SISTEMAS EOLICOS LTDA.","61760-000","Sem endereço","EUSÉBIO","","Pendente"
"AVANTI INDUSTRIA COMERCIO E REPRESENTACAO DE MATERIAIS PLAST","61935-270","Sem endereço","MARACANAÚ","","Pendente"
"AVCO POLIMEROS DO BRASIL S.A.","61939-080","Sem endereço","MARACANAÚ","","Pendente"
"AVINE","61700-000","Sem endereço","AQUIRAZ","","Pendente"
"AVINE ALIMENTOS INDUSTRIALIZADOS LTDA","62850-000","Sem endereço","CASCAVEL","","Pendente"
"AVON COSMETICOS LTDA.","60160-230","Sem endereço","FORTALEZA","","Pendente"
"AZ-TECH","60531-310","Sem endereço","FORTALEZA","","Pendente"
"AZULAO GERACAO DE ENERGIA S.A.","69310-600","Sem endereço","BOA VISTA","","Pendente"
"AZULAO GERACAO DE ENERGIA S.A.","69114-000","Sem endereço","SILVES","","Pendente"
"AZZ WSI DO BRASIL LTDA.","06460-110","Sem endereço","BARUERI","","Pendente"
"Alfpack Industria e Comercio de Embalagens LTDA","61922-120","Sem endereço","MARACANAÚ","","Pendente"
"Alliance Maranhao Ind e Com LTDA","65400-000","Sem endereço","CODÓ","","Pendente"
"Ara Textil LTDA","53520-015","Sem endereço","ABREU E LIMA","","Pendente"
"Arcompel Maquinas LTDA","45023-210","Sem endereço","VITÓRIA DA CONQUISTA","","Pendente"
"AÇO PRONTO CEARÁ UNIDADE MARACANAÚ","61939-090","Sem endereço","MARACANAÚ","","Pendente"
"B & T TRANSPORTES","61760-000","Sem endereço","EUSÉBIO","","Pendente"
"B D A - BARRETOS DISTRIBUIDORA DE ALIMENTOS","61650-370","Sem endereço","CAUCAIA","","Pendente"
"BACE","61939-000","Sem endereço","MARACANAÚ","","Pendente"
"BACE INOX INDUSTRIAL LTDA.","60335-190","Sem endereço","FORTALEZA","","Pendente"
"BAKOF PLASTICOS LTDA","63660-000","Sem endereço","TAUÁ","","Pendente"
"BALL","54515-070","Sem endereço","CABO DE SANTO AGOSTINHO","","Pendente"
"BANANAZINHA","74853-050","Sem endereço","GOIÂNIA","","Pendente"
"BANCO BRADESCO S.A.","06029-900","Sem endereço","OSASCO","","Pendente"
"BANCO ITAU","04344-902","Sem endereço","SÃO PAULO","","Pendente"
"BANCO SOFISA S/A","51020-350","Sem endereço","RECIFE","","Pendente"
"BAPEQ","44700-000","Sem endereço","JACOBINA","","Pendente"
"BASE AEREA DE FORTALEZA","60415-510","Sem endereço","FORTALEZA","","Pendente"
"BASTOS JUNTAS FILIAL 04","61648-300","Sem endereço","CAUCAIA","","Pendente"
"BASTOS JUNTAS INDUSTRIA DE AUTOPECAS LTDA","61648-290","Sem endereço","CAUCAIA","","Pendente"
"BATATAS GLOBO","60874-250","Sem endereço","FORTALEZA","","Pendente"
"BATERIAS MOURA","55150-615","Sem endereço","BELO JARDIM","","Pendente"
"BEATRIZ TEXTIL S/A","61901-410","Sem endereço","MARACANAÚ","","Pendente"
"BEBELU SANDUICHES","62880-001","Sem endereço","HORIZONTE","","Pendente"
"BEBIDAS ASA BRANCA","61880-000","Sem endereço","ITAITINGA","","Pendente"
"BEBIDAS E CONDIMENTOS ASA BRANCA LTDA","61917-310","Sem endereço","MARACANAÚ","","Pendente"
"BELFORT","60175-657","Sem endereço","FORTALEZA","","Pendente"
"BELLA BOJOS","61910-040","Sem endereço","MARACANAÚ","","Pendente"
"BELLA VITA Pães","54350-100","Sem endereço","JABOATÃO DOS GUARARAPES","","Pendente"
"BEMAX SERVICOS","61930-360","Sem endereço","MARACANAÚ","","Pendente"
"BEMT INDUSTRIA E COMERCIO DE CONFECCOES E VESTUARI","62884-190","Sem endereço","HORIZONTE","","Pendente"
"BENATEXTIL BENEFICIAMENTO TEXTIL LTDA","60864-310","Sem endereço","FORTALEZA","","Pendente"
"BEPLAST NORDESTE INDUSTRIA E COMERCIO DE PLASTICOS LTDA","62053-075","Sem endereço","SOBRAL","","Pendente"
"BERENICE  CORREIA","54325-610","Sem endereço","JABOATÃO DOS GUARARAPES","","Pendente"
"BERGSSON ALBERTO MELO DA SILVA LTDA","61760-000","Sem endereço","EUSÉBIO","","Pendente"
"BERMAS IND COM COURO LTDA","61939-160","Sem endereço","MARACANAÚ","","Pendente"
"BESSA POLPAS LTDA","62760-000","Sem endereço","BATURITÉ","","Pendente"
"BETA","67035-330","Sem endereço","ANANINDEUA","","Pendente"
"BETANIA LACTEOS","45700-000","Sem endereço","ITAPETINGA","","Pendente"
"BETANIA LACTEOS","55280-000","Sem endereço","PEDRA","","Pendente"
"BETUNEL","61931-050","Sem endereço","MARACANAÚ","","Pendente"
"BETÂNIA LÁCTEOS S/A MN","62940-000","Sem endereço","MORADA NOVA","","Pendente"
"BEZERRA & OLIVEIRA","60015-061","Sem endereço","FORTALEZA","","Pendente"
"BIKE NORTE FABRICACAO DE BICICLETAS S/A","69023-170","Sem endereço","MANAUS","","Pendente"
"BINATURAL BAHIA LTDA","43700-000","Sem endereço","SIMÕES FILHO","","Pendente"
"BINNOS ALIMENTOS LTDA","63130-020","Sem endereço","CRATO","","Pendente"
"BIO-ARTEMIA CULTIVO E BENEFICIAMENTO DE ARTEMIA","59675-000","Sem endereço","GROSSOS","","Pendente"
"BIO-SEIVA","61906-090","Sem endereço","MARACANAÚ","","Pendente"
"BIOCLONE","61760-000","Sem endereço","EUSÉBIO","","Pendente"
"BIOMATIKA INDUSTRIA E COMERCIO DE PRODUTOS NATURAIS S/A","61760-000","Sem endereço","EUSÉBIO","","Pendente"
"BIOMED","60115-171","Sem endereço","FORTALEZA","","Pendente"
"BIOMEDICAL","02998-020","Sem endereço","SÃO PAULO","","Pendente"
"BIRA MOVEIS","61917-120","Sem endereço","MARACANAÚ","","Pendente"
"BITTEN MAQUINAS TECNOLOGIA ECOLOGICA","61625-250","Sem endereço","CAUCAIA","","Pendente"
"BLIMPLEX EMBALAGENS","62800-000","Sem endereço","ARACATI","","Pendente"
"BLOWER","65050-430","Sem endereço","SÃO LUÍS","","Pendente"
"BM9 Distribuidora","60860-012","Sem endereço","FORTALEZA","","Pendente"
"BNB","60743-902","Sem endereço","FORTALEZA","","Pendente"
"BOBPACK INDUSTRIA DE EMBALAGENS LTDA","61760-000","Sem endereço","EUSÉBIO","","Pendente"
"BOM DGULA","60730-015","Sem endereço","FORTALEZA","","Pendente"
"BOM SINAL INDUSTRIA E COMERCIO LTDA","63180-000","Sem endereço","BARBALHA","","Pendente"
"BOMBAS KING LTDA","62670-000","Sem endereço","SÃO GONÇALO DO AMARANTE","","Pendente"
"BOMBRIL","52020-020","Sem endereço","RECIFE","","Pendente"
"BOMBRIL S/A","53550-520","Sem endereço","ABREU E LIMA","","Pendente"
"BONO","60325-005","Sem endereço","FORTALEZA","","Pendente"
"BP CEARA","63800-000","Sem endereço","QUIXERAMOBIM","","Pendente"
"BR HIDRAULICA","60711-442","Sem endereço","FORTALEZA","","Pendente"
"BRADESCO AUTO/RE COMPANHIA DE SEGUROS","20931-675","Sem endereço","RIO DE JANEIRO","","Pendente"
"BRANYL IND TEXTIL LTDA","61880-000","Sem endereço","ITAITINGA","","Pendente"
"BRASALPLA PERNAMBUCO - INDUSTRIA DE EMBALAGENS LTDA","54510-994","Sem endereço","CABO DE SANTO AGOSTINHO","","Pendente"
"BRASBIO - BRASIL BIOENERGIA LTDA","64860-000","Sem endereço","URUÇUÍ","","Pendente"
"BRASIL EMBALAGENS","61939-130","Sem endereço","MARACANAÚ","","Pendente"
"BRASIL NORTE MADEIRA","66815-140","Sem endereço","BELÉM","","Pendente"
"BRASISAL ALIMENTOS LTDA","59623-300","Sem endereço","MOSSORÓ","","Pendente"
"BRASLIMP TRANSPORTES ESPECIALIZADOS LTDA","60874-401","Sem endereço","FORTALEZA","","Pendente"
"BRASPOL POLIMEROS","63041-018","Sem endereço","JUAZEIRO DO NORTE","","Pendente"
"BRASQUIMICA","61939-200","Sem endereço","MARACANAÚ","","Pendente"
"BRAXMED","54789-765","Sem endereço","CAMARAGIBE","","Pendente"
"BRF S.A.","55613-900","Sem endereço","VITÓRIA DE SANTO ANTÃO","","Pendente"
"BRILUX","62884-795","Sem endereço","HORIZONTE","","Pendente"
"BRINGEL E CARVALHO INDUSTRIA DE BEBIDAS LTDA","63180-000","Sem endereço","BARBALHA","","Pendente"
"BRINQUEDOS LUMMAR INDUSTRIA E COMERCIO DE PLASTICOS EIRELI","60764-475","Sem endereço","FORTALEZA","","Pendente"
"BRISA DA SERRA","62250-000","Sem endereço","IPU","","Pendente"
"BRITACET","61908-110","Sem endereço","MARACANAÚ","","Pendente"
"BS PLASTICOS","60766-465","Sem endereço","FORTALEZA","","Pendente"
"BSPET INDUSTRIA E COMERCIO DE EMBALAGENS EIRELI ME","60766-670","Sem endereço","MARACANAÚ","","Pendente"
"BTR HIDROPNEUMATICA","61930-360","Sem endereço","FORTALEZA","","Pendente"
"BUCATINNI","62860-000","Sem endereço","PINDORETAMA","","Pendente"
"BUMERANGUE COMERCIO E REPRESENTACAO","60430-560","Sem endereço","FORTALEZA","","Pendente"
"BUNDY REFRIGERACAO BRASIL INDUSTRIA E COMERCIO LTDA.","61905-430","Sem endereço","MARACANAÚ","","Pendente"
"BUNGE","64860-000","Sem endereço","URUÇUÍ","","Pendente"
"BUNGE","55594-900","Sem endereço","IPOJUCA","","Pendente"
"BUNGE ALIMENTOS S/A","84043-450","Sem endereço","PONTA GROSSA","","Pendente"
"BUNGE ALIMENTOS S/A","47850-000","Sem endereço","LUÍS EDUARDO MAGALHÃES","","Pendente"
"BYTUBOS USINAGEM DE PRECISAO LTDA","61910-040","Sem endereço","MARACANAÚ","","Pendente"
"BYZ EMBALAGENS","61760-000","Sem endereço","EUSÉBIO","","Pendente"
"Bs Plast - Belo Santo Pvc LTDA","64027-460","Sem endereço","TERESINA","","Pendente"
"C & C COUROS","60743-218","Sem endereço","FORTALEZA","","Pendente"
"C & L INDUSTRIA DE PLASTICOS LTDA","61939-170","Sem endereço","MARACANAÚ","","Pendente"
"C B S PARAFUSOS","61760-000","Sem endereço","EUSÉBIO","","Pendente"
"C P N","61948-805","Sem endereço","MARANGUAPE","","Pendente"
"C T R L ENGENHARIA E MANUTENCAO","65055-370","Sem endereço","SÃO LUÍS","","Pendente"
